id;start_date;end_date;language
1;2021-03-11T16:00:23;2021-03-11T13:50:38;SPANISH
2;2021-03-10T20:50:34;2021-03-11T15:54:59;SPANISH
3;2021-03-11T11:45:53;2021-03-10T22:20:02;FRENCH
4;2021-03-11T03:03:24;2021-03-11T14:34:50;FRENCH
5;2021-03-11T12:33:42;2021-03-11T17:20:41;FRENCH
6;2021-03-11T06:26:03;2021-03-11T18:34:17;FRENCH
7;2021-03-11T08:11:23;2021-03-11T02:02:14;FRENCH
8;2021-03-11T07:07:36;2021-03-11T17:23:44;SPANISH
9;2021-03-11T05:48:45;2021-03-11T02:30:08;SPANISH
10;2021-03-11T14:00:49;2021-03-11T00:35:19;SPANISH
